n,str1,str2,str1_len,str2_len,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
dpopt,archivo1.txt,archivo2.txt,9,15,4042,1287.83,3246,3269.25,3377,3542.25,6272
dp,archivo1.txt,archivo2.txt,9,15,5368.2,1365.24,4358,4366.25,4458,4946.5,7244
recursive,archivo1.txt,archivo2.txt,9,15,4.10725e+06,918770,3.42169e+06,3.44018e+06,3.44771e+06,3.83668e+06,5.21692e+06
memo,archivo1.txt,archivo2.txt,9,15,97871.4,10804.5,90582,90604.5,92585,94321,116049
dpopt,archivo1.txt,archivo3.txt,9,523,127832,16799.5,97806,125525,134786,134924,136469
dp,archivo1.txt,archivo3.txt,9,523,241165,10864.1,227872,232869,239764,241948,255154
memo,archivo1.txt,archivo3.txt,9,523,943208,27396.8,915143,929022,935181,937258,988582
dpopt,archivo1.txt,archivo4.txt,9,14282,3.25323e+06,589659,2.42668e+06,2.77141e+06,3.44684e+06,3.49005e+06,3.88663e+06
dp,archivo1.txt,archivo4.txt,9,14282,4.44692e+06,1.17756e+06,3.29882e+06,3.5257e+06,3.93707e+06,4.31633e+06,5.94328e+06
memo,archivo1.txt,archivo4.txt,9,14282,2.37232e+06,421800,1.7363e+06,2.10628e+06,2.40535e+06,2.47483e+06,2.80704e+06
dpopt,archivo2.txt,archivo3.txt,15,523,149193,1840.47,147640,147918,148501,148777,152208
dp,archivo2.txt,archivo3.txt,15,523,225413,36888.5,183859,191666,234975,235929,275171
memo,archivo2.txt,archivo3.txt,15,523,3.35852e+06,874172,2.70122e+06,2.71118e+06,2.74573e+06,3.12938e+06,4.35082e+06
dpopt,archivo2.txt,archivo4.txt,15,14282,5.2609e+06,979022,4.2014e+06,4.59182e+06,4.77459e+06,5.13792e+06,6.37865e+06
dp,archivo2.txt,archivo4.txt,15,14282,7.14242e+06,983338,5.51122e+06,6.80797e+06,7.3059e+06,7.35106e+06,8.16823e+06
memo,archivo2.txt,archivo4.txt,15,14282,4.42557e+06,908077,3.44073e+06,3.44637e+06,4.88594e+06,4.9261e+06,5.30634e+06
dpopt,archivo3.txt,archivo4.txt,523,14282,1.43341e+08,3.74415e+06,1.41098e+08,1.41484e+08,1.41685e+08,1.41842e+08,1.49994e+08
dp,archivo3.txt,archivo4.txt,523,14282,1.87342e+08,1.98506e+06,1.8383e+08,1.86796e+08,1.88142e+08,1.88206e+08,1.88557e+08
memo,archivo3.txt,archivo4.txt,523,14282,1.32438e+10,2.51541e+08,1.3054e+10,1.30633e+10,1.31728e+10,1.31939e+10,1.36685e+10
