alg,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,txt1,txt22,memoria_usada(kb)
dpopt,15760.1,88634,5980,6984,7436.5,8297,1.31308e+06,texto1,texto2,3712
dp,25301.6,217853,8457,9626.25,10495.5,12128.5,3.4965e+06,texto1,texto2,3712
recursive,6.66635e+06,2.36889e+06,3.63689e+06,5.04891e+06,5.94277e+06,7.89167e+06,1.56123e+07,texto1,texto2,3712
memo,286879,358073,111960,190461,202176,227214,3.56449e+06,texto1,texto2,3712
dpopt,247962,384728,103582,106438,141090,186040,2.14144e+06,texto1,texto3,3712
dp,230952,38811.9,194942,209869,221708,233409,388678,texto1,texto3,3712
memo,1.71228e+06,1.24948e+06,751735,1.18516e+06,1.3155e+06,1.75965e+06,6.98198e+06,texto1,texto3,3840
dpopt,4.91167e+06,1.75691e+06,2.53873e+06,3.72857e+06,4.62156e+06,5.26089e+06,1.05769e+07,texto1,texto4,3840
dp,6.67704e+06,2.71991e+06,3.49017e+06,4.43493e+06,5.87978e+06,8.23045e+06,1.38063e+07,texto1,texto4,3968
memo,3.87185e+06,1.68746e+06,2.01557e+06,2.70977e+06,3.70107e+06,4.30437e+06,9.48231e+06,texto1,texto4,3968
dpopt,265069,284884,169543,172874,175172,271396,1.79774e+06,texto2,texto3,3712
dp,344170,219010,184618,214389,244682,348788,1.17773e+06,texto2,texto3,3712
memo,6.56348e+06,2.28099e+06,3.16096e+06,4.9059e+06,6.13666e+06,8.03208e+06,1.23876e+07,texto2,texto3,3968
dpopt,8.75864e+06,3.17288e+06,4.34976e+06,6.16128e+06,7.98825e+06,1.11438e+07,1.70023e+07,texto2,texto4,3840
dp,1.07044e+07,3.00705e+06,6.0235e+06,8.13421e+06,1.11015e+07,1.30835e+07,1.59175e+07,texto2,texto4,4480
memo,8.05654e+06,2.56021e+06,4.19099e+06,6.48702e+06,7.95507e+06,8.96186e+06,1.43907e+07,texto2,texto4,3968
dpopt,1.82496e+08,1.37725e+07,1.56027e+08,1.72232e+08,1.812e+08,1.95587e+08,2.07981e+08,texto3,texto4,3840
dp,2.545e+08,1.73764e+07,2.15595e+08,2.45629e+08,2.53298e+08,2.64573e+08,2.84728e+08,texto3,texto4,32768
memo,2.49626e+10,7.26008e+09,2.05614e+10,2.12267e+10,2.20767e+10,2.54784e+10,5.38326e+10,texto3,texto4,363392
